iter	Passed	Remaining
217	28816	367746
218	28980	368013
219	29122	368001
220	29221	367452
221	29351	367285
222	29469	366980
223	29565	366401
224	29701	366323
225	29784	365580
226	29909	365370
227	30056	365422
228	30142	364735
229	30280	364687
230	30385	364228
231	30479	363652
232	30634	363804
233	30777	363804
234	30961	364294
235	31100	364250
236	31267	364518
237	31426	364704
238	31534	364295
239	31691	364449
240	31785	363883
241	31842	362895
242	31939	362374
243	32058	362104
244	32160	361640
245	32321	361845
246	32449	361679
247	32609	361862
248	32758	361919
249	32829	361129
250	32966	361052
251	33076	360694
252	33176	360217
253	33277	359759
254	33368	359203
255	33533	359435
256	33709	359787
257	33860	359866
258	34008	359911
259	34147	359858
260	34342	360401
261	34472	360247
262	34607	360151
263	34751	360157
264	34866	359846
265	35009	359833
266	35184	360146
267	35346	360320
268	35492	360336
269	35626	360220
270	35775	360261
271	35968	360740
272	36168	361284
273	36328	361428
274	36380	360495
275	36494	360188
276	36640	360186
277	36813	360458
278	36926	360134
279	37054	359954
280	37201	359966
281	37305	359565
282	37424	359298
283	37609	359669
284	37765	359765
285	37972	360338
286	38103	360187
287	38261	360294
288	38399	360212
289	38536	360118
290	38658	359880
291	38780	359652
292	38879	359207
293	39008	359038
294	39101	358537
295	39209	358186
296	39376	358364
297	39507	358219
298	39614	357857
299	39703	357331
300	39821	357073
301	39958	356980
302	40064	356615
303	40170	356252
304	40288	355993
305	40488	356460
306	40597	356123
307	40739	356076
308	40867	355907
309	40978	355586
310	41106	355421
311	41224	355162
312	41320	354723
313	41453	354600
314	41571	354344
315	41709	354270
316	41851	354215
317	41986	354111
318	42135	354124
319	42230	353681
320	42304	353060
321	42406	352687
322	42530	352486
323	42679	352504
324	42805	352321
325	42896	351859
326	43060	351990
327	43225	352129
328	43357	352000
329	43509	352031
330	43639	351888
331	43762	351682
332	43889	351510
333	44063	351716
334	44220	351781
335	44361	351724
336	44519	351795
337	44652	351672
338	44739	351184
339	44814	350608
340	44924	350307
341	45072	350304
342	45188	350047
343	45331	349998
344	45465	349887
345	45576	349597
346	45647	349001
347	45725	348460
348	45837	348180
349	45979	348130
350	46159	348365
351	46269	348072
352	46372	347726
353	46511	347650
354	46689	347870
355	46798	347573
356	46941	347521
357	47065	347341
358	47142	346806
359	47254	346531
360	47423	346677
361	47573	346685
362	47700	346520
363	47861	346600
364	47926	345991
365	48044	345764
366	48203	345829
367	48344	345766
368	48481	345680
369	48592	345399
370	48712	345192
371	48847	345081
372	48967	344872
373	49101	344763
374	49248	344740
375	49360	344470
376	49454	344084
377	49536	343609
378	49638	343278
379	49746	342992
380	49877	342856
381	50009	342732
382	50090	342265
383	50207	342038
384	50318	341776
385	50399	341303
386	50472	340790
387	50536	340209
388	50605	339667
389	50680	339166
390	50866	339414
391	51007	339353
392	51124	339137
393	51165	338422
394	51324	338478
395	51423	338145
396	51523	337820
397	51643	337626
398	51766	337455
399	51871	337161
400	51971	336845
401	52080	336582
402	52217	336497
403	52368	336508
404	52506	336429
405	52643	336345
406	52794	336353
407	52949	336384
408	53111	336456
409	53249	336378
410	53399	336380
411	53495	336032
412	53631	335945
413	53734	335643
414	53801	335126
415	53869	334611
416	53970	334309
417	54115	334270
418	54239	334107
419	54314	333649
420	54410	333314
421	54505	332974
422	54631	332828
423	54770	332755
424	54894	332597
425	55070	332748
426	55196	332602
427	55302	332329
428	55396	331988
429	55554	332035
430	55720	332123
431	55839	331934
432	55918	331504
433	55984	331003
434	56071	330630
435	56216	330593
436	56344	330461
437	56479	330367
438	56623	330322
439	56718	329996
440	56830	329773
441	56945	329561
442	57061	329362
443	57185	329201
444	57284	328903
445	57389	328639
446	57501	328417
447	57633	328302
448	57749	328101
449	57839	327756
450	58006	327848
451	58107	327564
452	58228	327392
453	58369	327334
454	58495	327188
455	58592	326885
456	58750	326920
457	58890	326855
458	58991	326576
459	59142	326568
460	59237	326253
461	59356	326075
462	59510	326087
463	59670	326129
464	59812	326075
465	59955	326025
466	60078	325862
467	60229	325855
468	60347	325672
469	60480	325562
470	60614	325466
471	60756	325405
472	60869	325193
473	61019	325178
474	61150	325063
475	61195	324491
476	61274	324101
477	61431	324122
478	61525	323812
479	61608	323446
480	61703	323143
481	61799	322842
482	61932	322739
483	62097	322806
484	62240	322752
485	62360	322578
486	62447	322239
487	62594	322208
488	62681	321866
489	62768	321529
490	62850	321163
491	62913	320703
492	62993	320334
493	63079	319996
494	63151	319583
495	63250	319313
496	63429	319442
497	63601	319542
498	63728	319408
499	63807	319037
500	63923	318851
501	64061	318777
502	64217	318789
503	64360	318737
504	64447	318407
505	64560	318207
506	64728	318281
507	64851	318130
508	64979	318002
509	65135	318016
510	65261	317877
511	65420	317902
512	65564	317853
513	65651	317530
514	65723	317133
515	65809	316802
516	65931	316649
517	66080	316625
518	66171	316324
519	66282	316114
520	66461	316234
521	66578	316055
522	66707	315935
523	66800	315644
524	66885	315317
525	67032	315281
526	67153	315124
527	67291	315046
528	67417	314912
529	67544	314783
530	67676	314677
531	67822	314635
532	67933	314431
533	68008	314061
534	68098	313761
535	68191	313475
536	68255	313062
537	68358	312823
538	68512	312816
539	68639	312692
540	68722	312364
541	68794	311985
542	68878	311667
543	69059	311781
544	69274	312052
545	69357	311727
546	69467	311522
547	69548	311190
548	69619	310813
549	69697	310469
550	69805	310261
551	69917	310067
552	70013	309805
553	70116	309574
554	70220	309350
555	70314	309082
556	70403	308788
557	70544	308727
558	70637	308455
559	70765	308333
560	70885	308181
561	70999	307999
562	71131	307897
563	71259	307781
564	71304	307302
565	71371	306923
566	71518	306884
567	71636	306727
568	71799	306758
569	71897	306508
570	71990	306244
571	72083	305977
572	72147	305587
573	72212	305206
574	72265	304771
575	72316	304332
576	72368	303896
577	72530	303927
578	72660	303819
579	72784	303688
580	72917	303594
581	73004	303305
582	73073	302946
583	73160	302663
584	73228	302304
585	73321	302044
586	73387	301677
587	73532	301633
588	73676	301587
589	73808	301490
590	73929	301345
591	74081	301331
592	74196	301165
593	74303	300965
594	74365	300586
595	74439	300254
596	74512	299922
597	74610	299690
598	74723	299519
599	74802	299210
600	74883	298911
601	74971	298638
602	75058	298367
603	75140	298072
604	75211	297736
605	75314	297528
606	75394	297231
607	75461	296880
608	75542	296586
609	75607	296231
610	75699	295982
611	75809	295807
612	75923	295642
613	76063	295582
614	76200	295509
615	76316	295353
616	76411	295119
617	76517	294926
618	76603	294657
619	76696	294414
620	76790	294179
621	76889	293959
622	76957	293624
623	77075	293480
624	77198	293352
625	77324	293241
626	77502	293324
627	77626	293200
628	77761	293121
629	77888	293008
630	78037	292980
631	78160	292853
632	78276	292700
633	78354	292407
634	78484	292306
635	78624	292245
636	78748	292122
637	78876	292017
638	78979	291815
639	79086	291632
640	79177	291386
641	79333	291383
642	79430	291162
643	79578	291129
644	79735	291126
645	79829	290893
646	79939	290721
647	80038	290510
648	80157	290368
649	80321	290392
650	80453	290301
651	80587	290215
652	80710	290088
653	80820	289915
654	80915	289691
655	80997	289416
656	81114	289271
657	81264	289241
658	81395	289146
659	81475	288867
660	81554	288587
661	81640	288330
662	81803	288346
663	81931	288241
664	82075	288189
665	82213	288116
666	82310	287900
667	82450	287835
668	82528	287554
669	82612	287293
670	82698	287041
671	82791	286815
672	82881	286576
673	83010	286471
674	83127	286328
675	83306	286396
676	83429	286271
677	83507	285993
678	83607	285790
679	83758	285765
680	83890	285670
681	83988	285462
682	84096	285289
683	84198	285092
684	84300	284897
685	84433	284808
686	84528	284590
687	84599	284292
688	84686	284048
689	84820	283963
690	84915	283747
691	85001	283502
692	85116	283353
693	85224	283182
694	85312	282942
695	85430	282804
696	85529	282603
697	85614	282357
698	85732	282216
699	85845	282062
700	86005	282062
701	86125	281931
702	86264	281861
703	86431	281884
704	86490	281553
705	86563	281270
706	86637	280988
707	86792	280971
708	86904	280815
709	87023	280682
710	87139	280539
711	87261	280413
712	87404	280356
713	87549	280306
714	87682	280216
715	87810	280109
716	87945	280026
717	88068	279905
718	88214	279858
719	88371	279843
720	88540	279866
721	88710	279892
722	88823	279738
723	88927	279556
724	89059	279462
725	89153	279250
726	89268	279100
727	89368	278908
728	89508	278839
729	89625	278697
730	89770	278643
731	89936	278656
732	90040	278475
733	90205	278481
734	90375	278503
735	90563	278580
736	90715	278547
737	90791	278281
738	90862	277996
739	90956	277786
740	91025	277499
741	91152	277388
742	91317	277393
743	91415	277194
744	91539	277076
745	91636	276874
746	91722	276640
747	91779	276319
748	91841	276013
749	91940	275820
750	92008	275536
751	92098	275317
752	92174	275055
753	92243	274774
754	92327	274535
755	92403	274276
756	92500	274079
757	92586	273850
758	92701	273706
759	92835	273621
760	92947	273469
761	93028	273224
762	93100	272957
763	93173	272691
764	93250	272438
765	93347	272243
766	93460	272094
767	93598	272020
768	93713	271879
769	93821	271718
770	93949	271611
771	94084	271527
772	94192	271368
773	94265	271104
774	94330	270821
775	94415	270593
776	94485	270322
777	94579	270123
778	94676	269932
779	94825	269888
780	94916	269680
781	95009	269476
782	95137	269375
783	95254	269240
784	95322	268967
785	95391	268697
786	95528	268621
787	95638	268467
788	95782	268410
789	95851	268142
790	95921	267877
791	96012	267671
792	96125	267526
793	96273	267480
794	96401	267377
795	96487	267159
796	96676	267223
797	96809	267134
798	96900	266932
799	97013	266786
800	97190	266818
801	97327	266739
802	97418	266535
803	97488	266274
804	97614	266165
805	97724	266013
806	97824	265835
807	97953	265736
808	98114	265722
809	98251	265641
810	98337	265425
811	98474	265346
812	98570	265158
813	98655	264939
814	98762	264779
815	98856	264586
816	98987	264492
817	99112	264379
818	99216	264213
819	99385	264221
820	99514	264118
821	99617	263950
822	99684	263685
823	99791	263526
824	99925	263440
825	100075	263396
826	100223	263345
827	100354	263248
828	100480	263139
829	100542	262864
830	100591	262556
831	100703	262411
832	100843	262339
833	100950	262181
834	101029	261949
835	101102	261705
836	101244	261639
837	101362	261511
838	101444	261288
839	101595	261245
840	101724	261144
841	101846	261028
842	101961	260890
843	102090	260790
844	102171	260566
845	102321	260521
846	102460	260446
847	102558	260266
848	102662	260103
849	102777	259966
850	102861	259751
851	102995	259665
852	103105	259516
853	103184	259289
854	103350	259281
855	103534	259318
856	103669	259233
857	103854	259272
858	103973	259146
859	104100	259040
860	104223	258925
861	104318	258737
862	104404	258530
863	104491	258325
864	104652	258303
865	104754	258136
866	104847	257947
867	105000	257903
868	105064	257643
869	105184	257519
870	105346	257500
871	105481	257412
872	105664	257443
873	105815	257395
874	105923	257243
875	106042	257116
876	106151	256966
877	106270	256839
878	106399	256739
879	106506	256583
880	106630	256470
881	106724	256284
882	106862	256204
883	106999	256120
884	107133	256030
885	107222	255834
886	107299	255607
887	107379	255389
888	107448	255145
889	107508	254880
890	107576	254633
891	107648	254398
892	107720	254161
893	107791	253924
894	107859	253680
895	107917	253413
896	107987	253175
897	108047	252912
898	108124	252692
899	108192	252449
900	108267	252223
901	108341	251996
902	108440	251826
903	108575	251740
904	108710	251655
905	108830	251534
906	108908	251318
907	108991	251112
908	109053	250859
909	109180	250755
910	109346	250740
911	109480	250653
912	109604	250540
913	109711	250391
914	109841	250294
915	109972	250200
916	110107	250113
917	110216	249968
918	110353	249886
919	110488	249801
920	110612	249689
921	110705	249506
922	110765	249252
923	110840	249032
924	110905	248787
925	110939	248475
926	111006	248236
927	111097	248054
928	111216	247932
929	111345	247832
930	111512	247818
931	111664	247770
932	111813	247714
933	111984	247709
934	112079	247533
935	112262	247554
936	112384	247436
937	112519	247350
938	112619	247186
939	112715	247014
940	112816	246853
941	112889	246631
942	112996	246483
943	113155	246448
944	113248	246270
945	113312	246030
946	113410	245861
947	113560	245807
948	113727	245789
949	113861	245701
950	113959	245534
951	114029	245306
952	114107	245097
953	114179	244874
954	114260	244673
955	114347	244483
956	114464	244357
957	114599	244271
958	114702	244117
959	114771	243889
960	114847	243676
961	114934	243489
962	115042	243345
963	115187	243280
964	115318	243185
965	115402	242990
966	115481	242786
967	115613	242691
968	115733	242574
969	115880	242512
970	116005	242404
971	116170	242381
972	116342	242369
973	116520	242371
974	116712	242403
975	116885	242392
976	117047	242361
977	117195	242300
978	117322	242195
979	117465	242123
980	117611	242057
981	117770	242017
982	117928	241975
983	118080	241921
984	118216	241832
985	118361	241764
986	118494	241670
987	118562	241444
988	118615	241189
989	118678	240953
990	118757	240750
991	118860	240596
992	119003	240523
993	119161	240480
994	119240	240278
995	119310	240058
996	119381	239841
997	119444	239606
998	119509	239377
999	119576	239153
1000	119700	239042
1001	119814	238910
1002	119942	238807
1003	120091	238748
1004	120200	238607
1005	120291	238431
1006	120384	238259
1007	120525	238181
1008	120652	238076
1009	120787	237987
1010	120932	237917
1011	121039	237774
1012	121145	237626
1013	121242	237463
1014	121360	237340
1015	121452	237167
1016	121605	237112
1017	121672	236891
1018	121744	236679
1019	121815	236464
1020	121893	236265
1021	121948	236021
1022	122011	235794
1023	122112	235638
1024	122201	235461
1025	122304	235310
1026	122429	235202
1027	122594	235171
1028	122718	235062
1029	122850	234966
1030	122972	234852
1031	123150	234844
1032	123331	234843
1033	123478	234775
1034	123591	234644
1035	123739	234579
1036	123818	234383
1037	123895	234183
1038	123991	234020
1039	124097	233875
1040	124248	233815
1041	124344	233653
1042	124459	233526
1043	124599	233445
1044	124732	233351
1045	124861	233249
1046	124972	233114
1047	125059	232934
1048	125128	232722
1049	125254	232614
1050	125390	232526
1051	125464	232324
1052	125532	232109
1053	125600	231896
1054	125673	231691
1055	125741	231477
1056	125798	231244
1057	125839	230983
1058	125962	230871
1059	126085	230759
1060	126179	230596
1061	126262	230411
1062	126351	230237
1063	126426	230038
1064	126523	229880
1065	126604	229693
1066	126688	229511
1067	126780	229344
1068	126873	229179
1069	126944	228975
1070	127019	228776
1071	127108	228605
